contingency_id,contingency_type,elements,probability,converged,solve_time,iterations,total_generation_mw,total_load_mw,total_losses_mw,max_voltage_pu,min_voltage_pu,max_line_loading_pct,pre_violations,post_violations,new_violations,cleared_violations,critical_violations,new_critical_violations,islands_created,islanded_buses_count,severity_score,criticality_level
N1_LINE_L_A001_B012,N-1,L_A001_B012,0.17304574430992845,True,0.3920443058013916,50,331.5594809051077,315.77093419534066,1021.141780704936,1.7484927649036597,1.0184053084788711,0.23522472605316397,65,65,0,0,50,0,0,0,6.5,high
N1_LINE_L_A042_A043,N-1,L_A042_A043,0.0214139430745907,True,0.5905647277832031,50,331.5594809051077,315.77093419534066,1021.141780704936,1.7484927649036597,1.0184053084788711,0.23522472605316397,65,65,0,0,50,0,0,0,6.5,high
N1_LINE_L_A004_A005,N-1,L_A004_A005,0.01855109885348076,True,0.5386261940002441,50,331.5594809051077,315.77093419534066,1021.141780704936,1.7484927649036597,1.0184053084788711,0.23522472605316397,65,65,0,0,50,0,0,0,6.5,high
N1_LINE_L_A007_A008,N-1,L_A007_A008,0.017733525986478833,True,0.46071362495422363,50,331.5594809051077,315.77093419534066,1021.141780704936,1.7484927649036597,1.0184053084788711,0.23522472605316397,65,65,0,0,50,0,0,0,6.5,high
N1_LINE_L_B037_B038,N-1,L_B037_B038,0.017554276448701618,True,0.47597527503967285,50,331.5594809051077,315.77093419534066,1021.141780704936,1.7484927649036597,1.0184053084788711,0.23522472605316397,65,65,0,0,50,0,0,0,6.5,high
N1_LINE_L_B044_B045,N-1,L_B044_B045,0.01696502625056694,True,0.46033668518066406,50,331.5594809051077,315.77093419534066,1021.141780704936,1.7484927649036597,1.0184053084788711,0.23522472605316397,65,65,0,0,50,0,0,0,6.5,high
N1_LINE_L_A049_A024,N-1,L_A049_A024,0.016824698348323727,True,0.5452382564544678,50,331.5594809051077,315.77093419534066,1021.141780704936,1.7484927649036597,1.0184053084788711,0.23522472605316397,65,65,0,0,50,0,0,0,6.5,high
N1_LINE_L_B043_B018,N-1,L_B043_B018,0.016159310809037722,True,0.4629852771759033,50,331.5594809051077,315.77093419534066,1021.141780704936,1.7484927649036597,1.0184053084788711,0.23522472605316397,65,65,0,0,50,0,0,0,6.5,high
N1_LINE_L_B036_B037,N-1,L_B036_B037,0.015878115691547862,True,0.47387123107910156,50,331.5594809051077,315.77093419534066,1021.141780704936,1.7484927649036597,1.0184053084788711,0.23522472605316397,65,65,0,0,50,0,0,0,6.5,high
N1_LINE_L_B048_B049,N-1,L_B048_B049,0.0152204233633491,True,0.46299076080322266,50,331.5594809051077,315.77093419534066,1021.141780704936,1.7484927649036597,1.0184053084788711,0.23522472605316397,65,65,0,0,50,0,0,0,6.5,high
N1_LINE_L_A032_A033,N-1,L_A032_A033,0.015035221635848426,True,0.5380234718322754,50,331.5594809051077,315.77093419534066,1021.141780704936,1.7484927649036597,1.0184053084788711,0.23522472605316397,65,65,0,0,50,0,0,0,6.5,high
N1_LINE_L_A040_A015,N-1,L_A040_A015,0.014996884637176798,True,0.4013991355895996,50,331.5594809051077,315.77093419534066,1021.141780704936,1.7484927649036597,1.0184053084788711,0.23522472605316397,65,65,0,0,50,0,0,0,6.5,high
N1_LINE_L_A017_A018,N-1,L_A017_A018,0.014697268973337911,True,0.4745335578918457,50,331.5594809051077,315.77093419534066,1021.141780704936,1.7484927649036597,1.0184053084788711,0.23522472605316397,65,65,0,0,50,0,0,0,6.5,high
N1_LINE_L_B002_B003,N-1,L_B002_B003,0.013625947572425029,True,0.47318458557128906,50,331.5594809051077,315.77093419534066,1021.141780704936,1.7484927649036597,1.0184053084788711,0.23522472605316397,65,65,0,0,50,0,0,0,6.5,high
N1_LINE_L_B026_B027,N-1,L_B026_B027,0.01355784404604005,True,0.4457411766052246,50,331.5594809051077,315.77093419534066,1021.141780704936,1.7484927649036597,1.0184053084788711,0.23522472605316397,65,65,0,0,50,0,0,0,6.5,high
N1_LINE_L_B013_B014,N-1,L_B013_B014,0.012980016972306743,True,0.48017263412475586,50,331.5594809051077,315.77093419534066,1021.141780704936,1.7484927649036597,1.0184053084788711,0.23522472605316397,65,65,0,0,50,0,0,0,6.5,high
N1_LINE_L_A034_A035,N-1,L_A034_A035,0.012825179821181582,True,0.4727592468261719,50,331.5594809051077,315.77093419534066,1021.141780704936,1.7484927649036597,1.0184053084788711,0.23522472605316397,65,65,0,0,50,0,0,0,6.5,high
N1_LINE_L_A027_A028,N-1,L_A027_A028,0.012783341819807592,True,0.43053507804870605,50,331.5594809051077,315.77093419534066,1021.141780704936,1.7484927649036597,1.0184053084788711,0.23522472605316397,65,65,0,0,50,0,0,0,6.5,high
N1_LINE_L_A050_A001,N-1,L_A050_A001,0.0126941820162285,True,0.4007449150085449,50,331.5594809051077,315.77093419534066,1021.141780704936,1.7484927649036597,1.0184053084788711,0.23522472605316397,65,65,0,0,50,0,0,0,6.5,high
N1_LINE_L_B028_B003,N-1,L_B028_B003,0.01258515903821222,True,0.31645870208740234,50,331.5594809051077,315.77093419534066,1021.141780704936,1.7484927649036597,1.0184053084788711,0.23522472605316397,65,65,0,0,50,0,0,0,6.5,high
